Artist,Song,Comment
Thisara Weerasinghe,Ansathu Oba,superb 👌
Thisara Weerasinghe,Ansathu Oba,P
Thisara Weerasinghe,Ansathu Oba,🥺🥺🤍🌹k
Thisara Weerasinghe,Ansathu Oba,Patta
Thisara Weerasinghe,Ansathu Oba,My favorite song love it🥲
Thisara Weerasinghe,Ansathu Oba,Voice ❤❤❤❤
Thisara Weerasinghe,Ansathu Oba,Ma
Thisara Weerasinghe,Ansathu Oba,super
Thisara Weerasinghe,Ansathu Oba,Very good I am hearing everyday about ten times
Thisara Weerasinghe,Ansathu Oba,super feel to my heart in every hole
Thisara Weerasinghe,Ansathu Oba,Acting super
Thisara Weerasinghe,Ansathu Oba,Beautiful song
Thisara Weerasinghe,Ansathu Oba,Best song
Thisara Weerasinghe,Ansathu Oba,I love this song ❤️❤️❤️❤️❤️😍😍😍😍
Thisara Weerasinghe,Ansathu Oba,Superb
Thisara Weerasinghe,Ansathu Oba,Very nice
Thisara Weerasinghe,Ansathu Oba,Beautiful song... ❤️👍
Thisara Weerasinghe,Ansathu Oba,Very beautiful song
Thisara Weerasinghe,Ansathu Oba,Lovely song
Thisara Weerasinghe,Ansathu Oba,This is crazy ❤️
Thisara Weerasinghe,Ansathu Oba,Lovely song ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
Thisara Weerasinghe,Ansathu Oba,perfect one
Thisara Weerasinghe,Ansathu Oba,Is really true.
Thisara Weerasinghe,Ansathu Oba,Nice video
Thisara Weerasinghe,Ansathu Oba,Excellent
Thisara Weerasinghe,Ansathu Oba,A voice....💜💜💙💚💛❤
Thisara Weerasinghe,Ansathu Oba,Lovely 💚
Thisara Weerasinghe,Ansathu Oba,Superb creation💞❤️
Thisara Weerasinghe,Ansathu Oba,Po
Thisara Weerasinghe,Ansathu Oba,superb..acting
Thisara Weerasinghe,Ansathu Oba,patta
Thisara Weerasinghe,Ansathu Oba,Love this ❤️❤️❤️
Thisara Weerasinghe,Ansathu Oba,Great production 👍🏻👍🏻
Thisara Weerasinghe,Ansathu Oba,"Excellent, Everything beyond the heart feeling,,"
Thisara Weerasinghe,Ansathu Oba,Ala ala
Thisara Weerasinghe,Ansathu Oba,BEST
Thisara Weerasinghe,Ansathu Oba,Wow superb 🥰🥰🥰
Thisara Weerasinghe,Ansathu Oba,What’s the meaning of this song?
Thisara Weerasinghe,Ansathu Oba,What a talented actor 👏
Thisara Weerasinghe,Ansathu Oba,Heart touching song 🥰
Thisara Weerasinghe,Ansathu Oba,Heart ❤ touching song.. love it
Thisara Weerasinghe,Ansathu Oba,Beautiful ❤️❤️❤️
Thisara Weerasinghe,Ansathu Oba,❤️ Touching...
Thisara Weerasinghe,Ansathu Oba,Addicted to this song.
Thisara Weerasinghe,Ansathu Oba,Perfect!!!
Thisara Weerasinghe,Ansathu Oba,Amazing song 💕
Thisara Weerasinghe,Ansathu Oba,Waw
Thisara Weerasinghe,Ansathu Oba,I love this song😍😍😍😘😘
Thisara Weerasinghe,Ansathu Oba,Super acting super feeling ❤️
Thisara Weerasinghe,Ansathu Oba,Patta
Thisara Weerasinghe,Ansathu Oba,Wow.!!❤️Job well done
Thisara Weerasinghe,Ansathu Oba,Patta !!!! ⚡⚡⚡⚡🔥🔥🔥🔥👍👍👍👍👑👑👑👑🤝🤝🤝🤝✌️✌️✌️✌️
Thisara Weerasinghe,Ansathu Oba,Fantastic
Thisara Weerasinghe,Ansathu Oba,Super
Thisara Weerasinghe,Ansathu Oba,Uncommonly ❤️❤️❤️❤️🔥🔥🔥🔥 love this brother ❤️❤️❤️🙏
Thisara Weerasinghe,Ansathu Oba,Love this ♥️♥️♥️♥️
Thisara Weerasinghe,Ansathu Oba,Very Beautiful song
Thisara Weerasinghe,Ansathu Oba,Amazing ❤️❤️❤️❤️
Thisara Weerasinghe,Ansathu Oba,It is a very beautiful
Thisara Weerasinghe,Ansathu Oba,Nice
Thisara Weerasinghe,Ansathu Oba,Patta ❤️❤️❤️
Thisara Weerasinghe,Ansathu Oba,Love song. Very beautiful realistic song.
Thisara Weerasinghe,Ansathu Oba,Perfect song
Thisara Weerasinghe,Ansathu Oba,Nice Song ♥️
Thisara Weerasinghe,Ansathu Oba,Superb ❤❤❤
Thisara Weerasinghe,Ansathu Oba,Damn ❤️🔥
Thisara Weerasinghe,Ansathu Oba,Patta
Thisara Weerasinghe,Ansathu Oba,The song is perfect. but the concept is not suitable for real-life if we are will
Thisara Weerasinghe,Ansathu Oba,video 😡🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮
Thisara Weerasinghe,Ansathu Oba,Love This ❤️
Thisara Weerasinghe,Ansathu Oba,Excellent 💖
Thisara Weerasinghe,Ansathu Oba,Best visual i have ever seen
Thisara Weerasinghe,Ansathu Oba,Speechless ❤️❤️❤️
Thisara Weerasinghe,Ansathu Oba,super
Thisara Weerasinghe,Ansathu Oba,Superb Guitar music! Love it!
Thisara Weerasinghe,Ansathu Oba,Addicted 💞😍
Thisara Weerasinghe,Ansathu Oba,😊😊😊😊😊😊nice
Thisara Weerasinghe,Ansathu Oba,Superb..
Thisara Weerasinghe,Ansathu Oba,Reality ?....Who dislike this ??
Thisara Weerasinghe,Ansathu Oba,Patta
Thisara Weerasinghe,Ansathu Oba,"life is such a drama made with money, guilt and such beauty.... amazing but complicated. super song super script....some one need to give an award for this definitely."
Thisara Weerasinghe,Ansathu Oba,wow amazing video
Thisara Weerasinghe,Ansathu Oba,Perfect !
Thisara Weerasinghe,Ansathu Oba,So many times watched
Thisara Weerasinghe,Ansathu Oba,Mine❤️❤️❤️
Thisara Weerasinghe,Ansathu Oba,DAY USE
Thisara Weerasinghe,Ansathu Oba,Awesome music video and very creative. Initially I thought it was movie song.
Thisara Weerasinghe,Ansathu Oba,What a combination ❤❤❤
Thisara Weerasinghe,Ansathu Oba,❤️❤️Nothing to say..perfect..❤️❤️
Thisara Weerasinghe,Ansathu Oba,My favorite Singer ❤️❤️❤️❤️
Thisara Weerasinghe,Ansathu Oba,"“To love everyone unconditionally does not mean to give everyone your unconditional time. Sometimes, to love completely, we must never see someone again. This, too, is love. This is giving someone the freedom to exist and be happy, even if it must be without you.”"
Thisara Weerasinghe,Ansathu Oba,Superb♥️👌
Thisara Weerasinghe,Ansathu Oba,really good song
Thisara Weerasinghe,Ansathu Oba,Love this ❤️
Thisara Weerasinghe,Ansathu Oba,This is really good
Thisara Weerasinghe,Ansathu Oba,This is amazing
Thisara Weerasinghe,Ansathu Oba,Heart Touching 💞 🙌
Thisara Weerasinghe,Ansathu Oba,Superb...
Thisara Weerasinghe,Ansathu Oba,My song
Thisara Weerasinghe,Ansathu Oba,super👍
Thisara Weerasinghe,Ansathu Oba,"Good job, super 🥰🥰🥰👏👏👏"
Thisara Weerasinghe,Ansathu Oba,Amazing song ♥️
Thisara Weerasinghe,Ansathu Oba,Ama❤️
Thisara Weerasinghe,Ansathu Oba,One of the best scene I ever see like this video ..great acting and nice song.....
Thisara Weerasinghe,Ansathu Oba,What an amazing song and video 💖
Thisara Weerasinghe,Ansathu Oba,Wow
Thisara Weerasinghe,Ansathu Oba,Superb
Thisara Weerasinghe,Ansathu Oba,Mind-blowing ...
Thisara Weerasinghe,Ansathu Oba,Super
Thisara Weerasinghe,Ansathu Oba,So Good Video....
Thisara Weerasinghe,Ansathu Oba,Nice song ❤️❤️❤️❤️❤️❤️
Thisara Weerasinghe,Ansathu Oba,this is most awesome creation. i like it.
Thisara Weerasinghe,Ansathu Oba,Good
Thisara Weerasinghe,Ansathu Oba,Nice ✌
Thisara Weerasinghe,Ansathu Oba,Patta
Thisara Weerasinghe,Ansathu Oba,Perfect ♥️♥️♥️
Thisara Weerasinghe,Ansathu Oba,Music video of the year👆👆👆
Thisara Weerasinghe,Ansathu Oba,Superb❤️❤️
Thisara Weerasinghe,Ansathu Oba,We want more like this
Thisara Weerasinghe,Ansathu Oba,Superb..
Thisara Weerasinghe,Ansathu Oba,Addicted 💖
Thisara Weerasinghe,Ansathu Oba,Wow
Thisara Weerasinghe,Ansathu Oba,Feel❤️
Thisara Weerasinghe,Ansathu Oba,Super
Thisara Weerasinghe,Ansathu Oba,Super video
Thisara Weerasinghe,Ansathu Oba,Love this song more than everything
Thisara Weerasinghe,Ansathu Oba,"Heart touching story, and felt to bottom of ma heart"
Thisara Weerasinghe,Ansathu Oba,Somehow I end up here every single day.
Thisara Weerasinghe,Ansathu Oba,Excellent song👌🎶🎧
Thisara Weerasinghe,Ansathu Oba,Great.. ❤️
Thisara Weerasinghe,Ansathu Oba,SUPERB
Thisara Weerasinghe,Ansathu Oba,Superb😄😍
Thisara Weerasinghe,Ansathu Oba,Superb 💟💟❤
Thisara Weerasinghe,Ansathu Oba,Best..❤️
Thisara Weerasinghe,Ansathu Oba,Patta
Thisara Weerasinghe,Ansathu Oba,One of the best combination 🎶😘
Thisara Weerasinghe,Ansathu Oba,Super one 💖🎶
Thisara Weerasinghe,Ansathu Oba,Patta
Thisara Weerasinghe,Ansathu Oba,Beautiful work..all the best...
Thisara Weerasinghe,Ansathu Oba,Very beautiful song... ❤❤ great job...
Thisara Weerasinghe,Ansathu Oba,Super acting ❤️ great 👌
Thisara Weerasinghe,Ansathu Oba,Everything is perfect 🥰💞
Thisara Weerasinghe,Ansathu Oba,Song and visual 👌
Thisara Weerasinghe,Ansathu Oba,Super
Thisara Weerasinghe,Ansathu Oba,What a wholesome creation 💙
Thisara Weerasinghe,Ansathu Oba,Not interested
Thisara Weerasinghe,Ansathu Oba,Can someone explain the context and meaning of this creation please?
Thisara Weerasinghe,Ansathu Oba,I am addicted..
Thisara Weerasinghe,Ansathu Oba,great....
Thisara Weerasinghe,Ansathu Oba,Mage 💞 😢😢
Thisara Weerasinghe,Ansathu Oba,Nice song and nice act...
Thisara Weerasinghe,Ansathu Oba,Nice song 🎵
Thisara Weerasinghe,Ansathu Oba,Love this song ❤
Thisara Weerasinghe,Ansathu Oba,Super acting 👍
Thisara Weerasinghe,Ansathu Oba,Addicted.....💜️
Thisara Weerasinghe,Ansathu Oba,WOW
Thisara Weerasinghe,Ansathu Oba,Realistic 🔥
Thisara Weerasinghe,Ansathu Oba,They both are very charm😍♥️
Thisara Weerasinghe,Ansathu Oba,patta machan
Thisara Weerasinghe,Ansathu Oba,Superb
Thisara Weerasinghe,Ansathu Oba,Good luck. Keep it up 👍
Thisara Weerasinghe,Ansathu Oba,What a choreography.. excellent
Thisara Weerasinghe,Ansathu Oba,Nice Song 🎧❤️❤️💃👍
Thisara Weerasinghe,Ansathu Oba,Good ✌️❤❤
Thisara Weerasinghe,Ansathu Oba,One take beauty ♡
Thisara Weerasinghe,Ansathu Oba,patta
Thisara Weerasinghe,Ansathu Oba,Language 👄💬 is like a design 🌺
Thisara Weerasinghe,Ansathu Oba,nice
Thisara Weerasinghe,Ansathu Oba,love
Thisara Weerasinghe,Ansathu Oba,DEEP 🤍
Thisara Weerasinghe,Ansathu Oba,"Marae, 🌹🌹🌹🌹"
Thisara Weerasinghe,Ansathu Oba,Supper song.
Thisara Weerasinghe,Ansathu Oba,Good job 🖤
Thisara Weerasinghe,Ansathu Oba,Superb
Thisara Weerasinghe,Ansathu Oba,Fantastic song! Brilliant work!!❤️
Thisara Weerasinghe,Ansathu Oba,Heart touching 😍 😍
Thisara Weerasinghe,Ansathu Oba,Don’t normalize CHEATING !
Thisara Weerasinghe,Ansathu Oba,A work of art! Beautifully done brother ❤️👏
Thisara Weerasinghe,Ansathu Oba,What a piece of art ......................
Thisara Weerasinghe,Ansathu Oba,Superb💜️
Thisara Weerasinghe,Ansathu Oba,Super 👍👍👍👍
Thisara Weerasinghe,Ansathu Oba,see more....
Thisara Weerasinghe,Ansathu Oba,Superb song ...👌👌👌❤️❤️❤️
Thisara Weerasinghe,Ansathu Oba,Wow super ❤️
Thisara Weerasinghe,Ansathu Oba,Love the song machan :)
Thisara Weerasinghe,Ansathu Oba,Well done.
Thisara Weerasinghe,Ansathu Oba,KO BANG MASK ? 🦠🦠
Thisara Weerasinghe,Ansathu Oba,fantastic song
Thisara Weerasinghe,Ansathu Oba,Perfect acting ..❤
Thisara Weerasinghe,Ansathu Oba,Heart touched acting melody and singing
Thisara Weerasinghe,Ansathu Oba,Next level creativity
Thisara Weerasinghe,Ansathu Oba,Wow....
Thisara Weerasinghe,Ansathu Oba,Best acting ...❤✌
Thisara Weerasinghe,Ansathu Oba,Good job
Thisara Weerasinghe,Ansathu Oba,Aka patta ❤️❤️
Thisara Weerasinghe,Ansathu Oba,Wow. An extraordinary masterpiece
Thisara Weerasinghe,Ansathu Oba,Can someone please explain the song and the clip please?
Thisara Weerasinghe,Ansathu Oba,Same vehicle 😐
Thisara Weerasinghe,Ansathu Oba,Same face cut 🥲
Thisara Weerasinghe,Ansathu Oba,Have same experience 🙂
Thisara Weerasinghe,Ansathu Oba,Nice ❤
Thisara Weerasinghe,Ansathu Oba,🔥💯 superb🙌
Thisara Weerasinghe,Ansathu Oba,song and acting is supper. love it
Thisara Weerasinghe,Ansathu Oba,super 👍☺
Thisara Weerasinghe,Ansathu Oba,fantastic acting in one whole shot
Thisara Weerasinghe,Ansathu Oba,Nice work ❤️🎉🔥
Thisara Weerasinghe,Ansathu Oba,Beautiful 😍
Thisara Weerasinghe,Ansathu Oba,Wow ❤️
Thisara Weerasinghe,Ansathu Oba,Excellent ....
Thisara Weerasinghe,Ansathu Oba,Wow.its really touching my heart ❤❤❤
Thisara Weerasinghe,Ansathu Oba,Its deep. ❤️
Thisara Weerasinghe,Ansathu Oba,Perfect❤️‍🔥
Thisara Weerasinghe,Ansathu Oba,Perfect❤️‍🔥
Thisara Weerasinghe,Ansathu Oba,"My heart stopped beating for a moment, in love with this one,great job"
Thisara Weerasinghe,Ansathu Oba,Superb..👍👍👍👍
Thisara Weerasinghe,Ansathu Oba,Super
Thisara Weerasinghe,Ansathu Oba,Excellent
Thisara Weerasinghe,Ansathu Oba,mana
Thisara Weerasinghe,Ansathu Oba,Wow what a creative👍👍
Thisara Weerasinghe,Ansathu Oba,Love it
Thisara Weerasinghe,Ansathu Oba,Acting nam super .....
Thisara Weerasinghe,Ansathu Oba,Splendid...singing and acting...
Thisara Weerasinghe,Ansathu Oba,A masterpiece .❤️👍
Thisara Weerasinghe,Ansathu Oba,Good work
Thisara Weerasinghe,Ansathu Oba,A good creation! ❤
Thisara Weerasinghe,Ansathu Oba,Very good
Thisara Weerasinghe,Ansathu Oba,Super ❤️🎼
Thisara Weerasinghe,Ansathu Oba,Wow..😮😮
Thisara Weerasinghe,Ansathu Oba,Excellent voice and acting brother
Thisara Weerasinghe,Ansathu Oba,Simply perfect!
Thisara Weerasinghe,Ansathu Oba,once upon a time 😬👌💯
Thisara Weerasinghe,Ansathu Oba,Soothing Voice 🥺❤️
Thisara Weerasinghe,Ansathu Oba,Superb heart touching acting and voice 👌😍♥
Thisara Weerasinghe,Ansathu Oba,Super song..! love it ❤️
Thisara Weerasinghe,Ansathu Oba,Classic!🔥♥️
Thisara Weerasinghe,Ansathu Oba,Superb❤️
Thisara Weerasinghe,Ansathu Oba,Nice song
Thisara Weerasinghe,Ansathu Oba,Whatever true love 👍
Thisara Weerasinghe,Ansathu Oba,Wow
Thisara Weerasinghe,Ansathu Oba,Nice ❤😍😍😍
Thisara Weerasinghe,Ansathu Oba,Heart touching❤️
